IDContrato;DataFoto;IDTranche;Tipo;DataBase;DataBaixa;DataEvento;Projetado;Realizado;TaxaCambio;TaxaVariante;Taxa;FoiRealizado
372586;1900-01-01;1;3;2009-01-01;2009-01-02;2009-01-01;15550226195634400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-02-01;2009-02-02;2009-02-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-02-01;2009-02-02;2009-02-01;15286663039776200000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-03-01;2009-03-02;2009-03-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-03-01;2009-03-02;2009-03-01;13569251508054700000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-04-01;2009-04-01;2009-04-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-04-01;2009-04-01;2009-04-01;14759536728059800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-05-01;2009-05-04;2009-05-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-05-01;2009-05-04;2009-05-01;14028361521485300000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-06-01;2009-06-01;2009-06-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-06-01;2009-06-01;2009-06-01;14232410416343400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-07-01;2009-07-01;2009-07-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-07-01;2009-07-01;2009-07-01;13518239284340400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-08-01;2009-08-03;2009-08-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-08-01;2009-08-03;2009-08-01;13705284104626900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-09-01;2009-09-01;2009-09-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2009-09-01;2009-09-01;2009-09-01;13441720948768700000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2009-10-01;2009-10-01;2009-10-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
